transaction_id,transaction_date,value_date,bank_reference,narration,customer_name,amount,transaction_type,currency,settlement_id
BANK-00056,2026-08-13,2026-08-14,SET-20260811-006,PAYMENT SETTLEMENT PGTXN-20260056 INV-2026-00056,BrightPath Education,19250.0,CREDIT,INR,SET-20260811-006
BANK-00057,2026-08-13,2026-08-13,SET-20260810-006,PAYMENT SETTLEMENT PGTXN-20260057 INV-2026-00057,RapidRoute Couriers,75000.0,CREDIT,INR,SET-20260810-006
BANK-00058,2026-08-14,2026-08-14,SET-20260812-006,PAYMENT SETTLEMENT PGTXN-20260058 INV-2026-00058,NorthStar Energy,7250.0,CREDIT,INR,SET-20260812-006
BANK-00059,2026-08-17,2026-08-17,SET-20260814-006,PAYMENT SETTLEMENT PGTXN-20260059 INV-2026-00059,Crescent Textiles,22500.0,CREDIT,INR,SET-20260814-006
BANK-00060,2026-08-15,2026-08-16,SET-20260813-006,PAYMENT SETTLEMENT PGTXN-20260060 INV-2026-00060,Lakeview Hospitality,1250.0,CREDIT,INR,SET-20260813-006
BANK-00061,2026-08-18,2026-08-18,SET-20260815-007,PAYMENT SETTLEMENT PGTXN-20260061 INV-2026-00061,Acme Technologies Pvt Ltd,8900.0,CREDIT,INR,SET-20260815-007
BANK-00062,2026-08-19,2026-08-19,SET-20260817-007,PAYMENT SETTLEMENT PGTXN-20260062 INV-2026-00062,Nova Retail Solutions,331.33,CREDIT,USD,SET-20260817-007
BANK-00063,2026-08-19,2026-08-19,SET-20260816-007,PAYMENT SETTLEMENT PGTXN-20260063 INV-2026-00063,BlueSky Logistics,1800.0,CREDIT,INR,SET-20260816-007
BANK-00064,2026-08-20,2026-08-21,SET-20260818-007,PAYMENT SETTLEMENT PGTXN-20260064 INV-2026-00064,GreenLeaf Foods,10500.0,CREDIT,INR,SET-20260818-007
BANK-00065,2026-08-23,2026-08-23,SET-20260820-007,PAYMENT SETTLEMENT PGTXN-20260065 INV-2026-00065,Vertex Systems,32000.0,CREDIT,INR,SET-20260820-007
BANK-00066,2026-08-21,2026-08-21,SET-20260819-007,PAYMENT SETTLEMENT PGTXN-20260066 INV-2026-00066,Orion Healthcare,2450.0,CREDIT,INR,SET-20260819-007
BANK-00067,2026-08-24,2026-08-24,SET-20260821-007,PAYMENT SETTLEMENT PGTXN-20260067 INV-2026-00067,MetroMart India,12750.0,CREDIT,INR,SET-20260821-007
BANK-00068,2026-08-25,2026-08-26,SET-20260823-007,PAYMENT SETTLEMENT PGTXN-20260068 INV-2026-00068,CloudNine Services,38500.0,CREDIT,INR,SET-20260823-007
BANK-00069,2026-08-25,2026-08-25,SET-20260822-007,PAYMENT SETTLEMENT PGTXN-20260069 INV-2026-00069,Apex Manufacturing,3200.0,CREDIT,INR,SET-20260822-007
BANK-00070,2026-08-26,2026-08-26,SET-20260824-007,PAYMENT SETTLEMENT PGTXN-20260070 INV-2026-00070,Sunrise Enterprises,14500.0,CREDIT,INR,SET-20260824-007
BANK-00071,2026-08-29,2026-08-29,SET-20260826-008,SETTLEMENT PGTXN-20260071 INV-2026-00071,Silverline Media,45000.0,CREDIT,INR,SET-20260826-008
BANK-00072,2026-08-27,2026-08-28,SET-20260825-008,SETTLEMENT PGTXN-20260072 INV-2026-00072,PrimeBuild Infra,4750.0,CREDIT,INR,SET-20260825-008
BANK-00073,2026-08-06,2026-08-06,SET-20260803-008,SETTLEMENT PGTXN-20260073 INV-2026-00073,UrbanCart,16800.0,CREDIT,INR,SET-20260803-008
BANK-00074,2026-08-07,2026-08-07,SET-20260805-008,SETTLEMENT PGTXN-20260074 INV-2026-00074,Zenith Consulting,56000.0,CREDIT,INR,SET-20260805-008
BANK-00075,2026-08-07,2026-08-07,SET-20260804-008,SETTLEMENT PGTXN-20260075 INV-2026-00075,Everest Electronics,5600.0,CREDIT,INR,SET-20260804-008
BANK-00076,2026-08-08,2026-08-09,SET-20260806-008,SETTLEMENT PGTXN-20260076 INV-2026-00076,BrightPath Education,19250.0,CREDIT,INR,SET-20260806-008
BANK-00077,2026-08-11,2026-08-11,SET-20260808-008,SETTLEMENT PGTXN-20260077 INV-2026-00077,RapidRoute Couriers,75000.0,CREDIT,INR,SET-20260808-008
BANK-00078,2026-08-09,2026-08-09,SET-20260807-008,SETTLEMENT PGTXN-20260078 INV-2026-00078,NorthStar Energy,7250.0,CREDIT,INR,SET-20260807-008
BANK-00079,2026-08-12,2026-08-12,SET-20260809-008,SETTLEMENT PGTXN-20260079 INV-2026-00079,Crescent Textiles,22500.0,CREDIT,INR,SET-20260809-008
BANK-00080,2026-08-13,2026-08-14,SET-20260811-008,SETTLEMENT PGTXN-20260080 INV-2026-00080,Lakeview Hospitality,1250.0,CREDIT,INR,SET-20260811-008
BANK-00081,2026-08-13,2026-08-13,SET-20260810-009,NET SETTLEMENT PGTXN-20260081 INV-2026-00081,Acme Technologies Pvt Ltd,8689.96,CREDIT,INR,SET-20260810-009
BANK-00082,2026-08-14,2026-08-14,SET-20260812-009,NET SETTLEMENT PGTXN-20260082 INV-2026-00082,Nova Retail Solutions,26851.0,CREDIT,INR,SET-20260812-009
BANK-00083,2026-08-17,2026-08-17,SET-20260814-009,NET SETTLEMENT PGTXN-20260083 INV-2026-00083,BlueSky Logistics,1757.52,CREDIT,INR,SET-20260814-009
BANK-00084,2026-08-15,2026-08-16,SET-20260813-009,NET SETTLEMENT PGTXN-20260084 INV-2026-00084,GreenLeaf Foods,10252.2,CREDIT,INR,SET-20260813-009
BANK-00085,2026-08-18,2026-08-18,SET-20260815-009,NET SETTLEMENT PGTXN-20260085 INV-2026-00085,Vertex Systems,31244.8,CREDIT,INR,SET-20260815-009
BANK-00086,2026-08-19,2026-08-19,SET-20260817-009,PART PAYMENT PGTXN-20260086 INV-2026-00086,Orion Healthcare,1470.0,CREDIT,INR,SET-20260817-009
BANK-00087,2026-08-19,2026-08-19,SET-20260816-009,PART PAYMENT PGTXN-20260087 INV-2026-00087,MetroMart India,7650.0,CREDIT,INR,SET-20260816-009
BANK-00088,2026-08-20,2026-08-21,SET-20260818-009,PART PAYMENT PGTXN-20260088 INV-2026-00088,CloudNine Services,23100.0,CREDIT,INR,SET-20260818-009
BANK-00089,2026-08-23,2026-08-23,SET-20260820-009,PART PAYMENT PGTXN-20260089 INV-2026-00089,Apex Manufacturing,1920.0,CREDIT,INR,SET-20260820-009
BANK-00090,2026-08-21,2026-08-21,SET-20260819-009,PART PAYMENT PGTXN-20260090 INV-2026-00090,Sunrise Enterprises,8700.0,CREDIT,INR,SET-20260819-009
BANK-00091,2026-08-24,2026-08-24,SET-20260821-010,DUPLICATE SETTLEMENT PGTXN-20260091 INV-2026-00091,Silverline Media,45000.0,CREDIT,INR,SET-20260821-010
BANK-00092,2026-08-25,2026-08-26,SET-20260823-010,DUPLICATE SETTLEMENT PGTXN-20260092 INV-2026-00092,PrimeBuild Infra,4750.0,CREDIT,INR,SET-20260823-010
BANK-00093,2026-08-25,2026-08-25,SET-20260822-010,DUPLICATE SETTLEMENT PGTXN-20260093 INV-2026-00093,UrbanCart,16800.0,CREDIT,INR,SET-20260822-010
BANK-00094,2026-08-26,2026-08-26,SET-20260824-010,DUPLICATE SETTLEMENT PGTXN-20260094 INV-2026-00094,Zenith Consulting,56000.0,CREDIT,INR,SET-20260824-010
BANK-00095,2026-08-29,2026-08-29,SET-20260826-010,DUPLICATE SETTLEMENT PGTXN-20260095 INV-2026-00095,Everest Electronics,5600.0,CREDIT,INR,SET-20260826-010
BANK-00096,2026-08-27,2026-08-28,UNMATCHED-BANK-096,UNKNOWN CREDIT CUSTOMER REF 096,Unknown Customer A,2100.0,CREDIT,INR,UNMATCHED-BANK-096
BANK-00097,2026-08-06,2026-08-06,UNMATCHED-BANK-097,UNKNOWN CREDIT CUSTOMER REF 097,Unknown Customer B,6750.0,CREDIT,INR,UNMATCHED-BANK-097
BANK-00098,2026-08-07,2026-08-07,UNMATCHED-BANK-098,UNKNOWN CREDIT CUSTOMER REF 098,Unknown Customer C,11800.0,CREDIT,INR,UNMATCHED-BANK-098
BANK-00099,2026-08-07,2026-08-07,UNMATCHED-BANK-099,UNKNOWN CREDIT CUSTOMER REF 099,Unknown Customer D,24750.0,CREDIT,INR,UNMATCHED-BANK-099
BANK-00100,2026-08-08,2026-08-09,UNMATCHED-BANK-100,UNKNOWN CREDIT CUSTOMER REF 100,Unknown Customer E,41000.0,CREDIT,INR,UNMATCHED-BANK-100
