payment_id,payment_reference,gateway_transaction_id,invoice_id,customer_name,payment_date,amount,currency,status,fee,gst_on_fee,settlement_amount,settlement_id
PAY-00014,PAY-00014,PGTXN-20260014,INV-2026-00014,Zenith Consulting,2026-08-17,56000.0,INR,CAPTURED,0.0,0.0,56000.0,SET-20260817-002
PAY-00015,PAY-00015,PGTXN-20260015,INV-2026-00015,Everest Electronics,2026-08-16,5600.0,INR,CAPTURED,0.0,0.0,5600.0,SET-20260816-002
PAY-00016,PAY-00016,PGTXN-20260016,INV-2026-00016,BrightPath Education,2026-08-18,19250.0,INR,CAPTURED,0.0,0.0,19250.0,SET-20260818-002
PAY-00017,PAY-00017,PGTXN-20260017,INV-2026-00017,RapidRoute Couriers,2026-08-20,75000.0,INR,CAPTURED,0.0,0.0,75000.0,SET-20260820-002
PAY-00018,PAY-00018,PGTXN-20260018,INV-2026-00018,NorthStar Energy,2026-08-19,7250.0,INR,CAPTURED,0.0,0.0,7250.0,SET-20260819-002
PAY-00019,PAY-00019,PGTXN-20260019,INV-2026-00019,Crescent Textiles,2026-08-21,22500.0,INR,CAPTURED,0.0,0.0,22500.0,SET-20260821-002
PAY-00020,PAY-00020,PGTXN-20260020,INV-2026-00020,Lakeview Hospitality,2026-08-23,1250.0,INR,CAPTURED,0.0,0.0,1250.0,SET-20260823-002
PAY-00021,PAY-00021,PGTXN-20260021,INV-2026-00021,Acme Technologies Pvt Ltd,2026-08-22,8900.0,INR,CAPTURED,0.0,0.0,8900.0,SET-20260822-003
PAY-00022,PAY-00022,PGTXN-20260022,INV-2026-00022,Nova Retail Solutions,2026-08-24,27500.0,INR,CAPTURED,0.0,0.0,27500.0,SET-20260824-003
PAY-00023,PAY-00023,PGTXN-20260023,INV-2026-00023,BlueSky Logistics,2026-08-26,1800.0,INR,CAPTURED,0.0,0.0,1800.0,SET-20260826-003
PAY-00024,PAY-00024,PGTXN-20260024,INV-2026-00024,GreenLeaf Foods,2026-08-25,10500.0,INR,CAPTURED,0.0,0.0,10500.0,SET-20260825-003
PAY-00025,PAY-00025,PGTXN-20260025,INV-2026-00025,Vertex Systems,2026-08-03,32000.0,INR,CAPTURED,0.0,0.0,32000.0,SET-20260803-003
PAY-00026,PAY-00026,PGTXN-20260026,INV-2026-00026,Orion Healthcare,2026-08-05,2450.0,INR,CAPTURED,0.0,0.0,2450.0,SET-20260805-003
PAY-00027,PAY-00027,PGTXN-20260027,INV-2026-00027,MetroMart India,2026-08-04,12750.0,INR,CAPTURED,0.0,0.0,12750.0,SET-20260804-003
PAY-00028,PAY-00028,PGTXN-20260028,INV-2026-00028,CloudNine Services,2026-08-06,38500.0,INR,CAPTURED,0.0,0.0,38500.0,SET-20260806-003
PAY-00029,PAY-00029,PGTXN-20260029,INV-2026-00029,Apex Manufacturing,2026-08-08,3200.0,INR,CAPTURED,0.0,0.0,3200.0,SET-20260808-003
PAY-00030,PAY-00030,PGTXN-20260030,INV-2026-00030,Sunrise Enterprises,2026-08-07,14500.0,INR,CAPTURED,0.0,0.0,14500.0,SET-20260807-003
PAY-00031,PAY-00031,PGTXN-20260031,INV-2026-00031,Silverline Media,2026-08-09,45000.0,INR,CAPTURED,0.0,0.0,45000.0,SET-20260809-004
PAY-00032,PAY-00032,PGTXN-20260032,INV-2026-00032,PrimeBuild Infra,2026-08-11,4750.0,INR,CAPTURED,0.0,0.0,4750.0,SET-20260811-004
PAY-00033,PAY-00033,PGTXN-20260033,INV-2026-00033,UrbanCart,2026-08-10,16800.0,INR,CAPTURED,0.0,0.0,16800.0,SET-20260810-004
PAY-00034,PAY-00034,PGTXN-20260034,INV-2026-00034,Zenith Consulting,2026-08-12,56000.0,INR,CAPTURED,0.0,0.0,56000.0,SET-20260812-004
PAY-00035,PAY-00035,PGTXN-20260035,INV-2026-00035,Everest Electronics,2026-08-14,5600.0,INR,CAPTURED,0.0,0.0,5600.0,SET-20260814-004
PAY-00036,PAY-00036,PGTXN-20260036,INV-2026-00036,BrightPath Education,2026-08-13,19250.0,INR,CAPTURED,0.0,0.0,19250.0,SET-20260813-004
PAY-00037,PAY-00037,PGTXN-20260037,INV-2026-00037,RapidRoute Couriers,2026-08-15,75000.0,INR,CAPTURED,0.0,0.0,75000.0,SET-20260815-004
PAY-00038,PAY-00038,PGTXN-20260038,INV-2026-00038,NorthStar Energy,2026-08-17,7250.0,INR,CAPTURED,0.0,0.0,7250.0,SET-20260817-004
PAY-00039,PAY-00039,PGTXN-20260039,INV-2026-00039,Crescent Textiles,2026-08-16,22500.0,INR,CAPTURED,0.0,0.0,22500.0,SET-20260816-004
PAY-00040,PAY-00040,PGTXN-20260040,INV-2026-00040,Lakeview Hospitality,2026-08-18,1250.0,INR,CAPTURED,0.0,0.0,1250.0,SET-20260818-004
PAY-00041,PAY-00041,PGTXN-20260041,INV-2026-00041,Acme Technologies Pvt Ltd,2026-08-20,8900.0,INR,CAPTURED,0.0,0.0,8900.0,SET-20260820-005
PAY-00042,PAY-00042,PGTXN-20260042,INV-2026-00042,Nova Retail Solutions,2026-08-19,27500.0,INR,CAPTURED,0.0,0.0,27500.0,SET-20260819-005
PAY-00043,PAY-00043,PGTXN-20260043,INV-2026-00043,BlueSky Logistics,2026-08-21,1800.0,INR,CAPTURED,0.0,0.0,1800.0,SET-20260821-005
PAY-00044,PAY-00044,PGTXN-20260044,INV-2026-00044,GreenLeaf Foods,2026-08-23,10500.0,INR,CAPTURED,0.0,0.0,10500.0,SET-20260823-005
PAY-00045,PAY-00045,PGTXN-20260045,INV-2026-00045,Vertex Systems,2026-08-22,32000.0,INR,CAPTURED,0.0,0.0,32000.0,SET-20260822-005
PAY-00046,PAY-00046,PGTXN-20260046,INV-2026-00046,Orion Healthcare,2026-08-24,2450.0,INR,CAPTURED,0.0,0.0,2450.0,SET-20260824-005
PAY-00047,PAY-00047,PGTXN-20260047,INV-2026-00047,MetroMart India,2026-08-26,12750.0,INR,CAPTURED,0.0,0.0,12750.0,SET-20260826-005
PAY-00048,PAY-00048,PGTXN-20260048,INV-2026-00048,CloudNine Services,2026-08-25,38500.0,INR,CAPTURED,0.0,0.0,38500.0,SET-20260825-005
PAY-00049,PAY-00049,PGTXN-20260049,INV-2026-00049,Apex Manufacturing,2026-08-03,3200.0,INR,CAPTURED,0.0,0.0,3200.0,SET-20260803-005
PAY-00050,PAY-00050,PGTXN-20260050,INV-2026-00050,Sunrise Enterprises,2026-08-05,14500.0,INR,CAPTURED,0.0,0.0,14500.0,SET-20260805-005
PAY-00051,PAY-00051,PGTXN-20260051,INV-2026-00051,Silverline Media,2026-08-04,45000.0,INR,CAPTURED,0.0,0.0,45000.0,SET-20260804-006
PAY-00052,PAY-00052,PGTXN-20260052,INV-2026-00052,PrimeBuild Infra,2026-08-06,4750.0,INR,CAPTURED,0.0,0.0,4750.0,SET-20260806-006
PAY-00053,PAY-00053,PGTXN-20260053,INV-2026-00053,UrbanCart,2026-08-08,16800.0,INR,CAPTURED,0.0,0.0,16800.0,SET-20260808-006
PAY-00054,PAY-00054,PGTXN-20260054,INV-2026-00054,Zenith Consulting,2026-08-07,56000.0,INR,CAPTURED,0.0,0.0,56000.0,SET-20260807-006
PAY-00055,PAY-00055,PGTXN-20260055,INV-2026-00055,Everest Electronics,2026-08-09,5600.0,INR,CAPTURED,0.0,0.0,5600.0,SET-20260809-006
PAY-00056,PAY-00056,PGTXN-20260056,INV-2026-00056,BrightPath Education,2026-08-11,19250.0,INR,CAPTURED,0.0,0.0,19250.0,SET-20260811-006
PAY-00057,PAY-00057,PGTXN-20260057,INV-2026-00057,RapidRoute Couriers,2026-08-10,75000.0,INR,CAPTURED,0.0,0.0,75000.0,SET-20260810-006
PAY-00058,PAY-00058,PGTXN-20260058,INV-2026-00058,NorthStar Energy,2026-08-12,7250.0,INR,CAPTURED,0.0,0.0,7250.0,SET-20260812-006
PAY-00059,PAY-00059,PGTXN-20260059,INV-2026-00059,Crescent Textiles,2026-08-14,22500.0,INR,CAPTURED,0.0,0.0,22500.0,SET-20260814-006
PAY-00060,PAY-00060,PGTXN-20260060,INV-2026-00060,Lakeview Hospitality,2026-08-13,1250.0,INR,CAPTURED,0.0,0.0,1250.0,SET-20260813-006
PAY-00061,PAY-00061,PGTXN-20260061,INV-2026-00061,Acme Technologies Pvt Ltd,2026-08-15,8900.0,INR,CAPTURED,0.0,0.0,8900.0,SET-20260815-007
PAY-00062,PAY-00062,PGTXN-20260062,INV-2026-00062,Nova Retail Solutions,2026-08-17,27500.0,INR,CAPTURED,0.0,0.0,27500.0,SET-20260817-007
PAY-00063,PAY-00063,PGTXN-20260063,INV-2026-00063,BlueSky Logistics,2026-08-16,1800.0,INR,CAPTURED,0.0,0.0,1800.0,SET-20260816-007
PAY-00064,PAY-00064,PGTXN-20260064,INV-2026-00064,GreenLeaf Foods,2026-08-18,10500.0,INR,CAPTURED,0.0,0.0,10500.0,SET-20260818-007
PAY-00065,PAY-00065,PGTXN-20260065,INV-2026-00065,Vertex Systems,2026-08-20,32000.0,INR,CAPTURED,0.0,0.0,32000.0,SET-20260820-007
PAY-00066,PAY-00066,PGTXN-20260066,INV-2026-00066,Orion Healthcare,2026-08-19,2450.0,INR,CAPTURED,0.0,0.0,2450.0,SET-20260819-007
PAY-00067,PAY-00067,PGTXN-20260067,INV-2026-00067,MetroMart India,2026-08-21,12750.0,INR,CAPTURED,0.0,0.0,12750.0,SET-20260821-007
PAY-00068,PAY-00068,PGTXN-20260068,INV-2026-00068,CloudNine Services,2026-08-23,38500.0,INR,CAPTURED,0.0,0.0,38500.0,SET-20260823-007
PAY-00069,PAY-00069,PGTXN-20260069,INV-2026-00069,Apex Manufacturing,2026-08-22,3200.0,INR,CAPTURED,0.0,0.0,3200.0,SET-20260822-007
PAY-00070,PAY-00070,PGTXN-20260070,INV-2026-00070,Sunrise Enterprises,2026-08-24,14500.0,INR,CAPTURED,0.0,0.0,14500.0,SET-20260824-007
PAY-00071,PAY-00071,PGTXN-20260071,INV-2026-00071,Silverline Media,2026-08-26,45000.0,INR,CAPTURED,0.0,0.0,45000.0,SET-20260826-008
PAY-00072,PAY-00072,PGTXN-20260072,INV-2026-00072,PrimeBuild Infra,2026-08-25,4750.0,INR,CAPTURED,0.0,0.0,4750.0,SET-20260825-008
PAY-00073,PAY-00073,PGTXN-20260073,INV-2026-00073,UrbanCart,2026-08-03,16800.0,INR,CAPTURED,0.0,0.0,16800.0,SET-20260803-008
PAY-00074,PAY-00074,PGTXN-20260074,INV-2026-00074,Zenith Consulting,2026-08-05,56000.0,INR,CAPTURED,0.0,0.0,56000.0,SET-20260805-008
PAY-00075,PAY-00075,PGTXN-20260075,INV-2026-00075,Everest Electronics,2026-08-04,5600.0,INR,CAPTURED,0.0,0.0,5600.0,SET-20260804-008
PAY-00076,PAY-00076,PGTXN-20260076,INV-2026-00076,BrightPath Education,2026-08-06,19250.0,INR,CAPTURED,0.0,0.0,19250.0,SET-20260806-008
PAY-00077,PAY-00077,PGTXN-20260077,INV-2026-00077,RapidRoute Couriers,2026-08-08,75000.0,INR,CAPTURED,0.0,0.0,75000.0,SET-20260808-008
PAY-00078,PAY-00078,PGTXN-20260078,INV-2026-00078,NorthStar Energy,2026-08-07,7250.0,INR,CAPTURED,0.0,0.0,7250.0,SET-20260807-008
PAY-00079,PAY-00079,PGTXN-20260079,INV-2026-00079,Crescent Textiles,2026-08-09,22500.0,INR,CAPTURED,0.0,0.0,22500.0,SET-20260809-008
PAY-00080,PAY-00080,PGTXN-20260080,INV-2026-00080,Lakeview Hospitality,2026-08-11,1250.0,INR,CAPTURED,0.0,0.0,1250.0,SET-20260811-008
PAY-00081,PAY-00081,PGTXN-20260081,INV-2026-00081,Acme Technologies Pvt Ltd,2026-08-10,8900.0,INR,CAPTURED,178.0,32.04,8689.96,SET-20260810-009
PAY-00082,PAY-00082,PGTXN-20260082,INV-2026-00082,Nova Retail Solutions,2026-08-12,27500.0,INR,CAPTURED,550.0,99.0,26851.0,SET-20260812-009
PAY-00083,PAY-00083,PGTXN-20260083,INV-2026-00083,BlueSky Logistics,2026-08-14,1800.0,INR,CAPTURED,36.0,6.48,1757.52,SET-20260814-009
PAY-00084,PAY-00084,PGTXN-20260084,INV-2026-00084,GreenLeaf Foods,2026-08-13,10500.0,INR,CAPTURED,210.0,37.8,10252.2,SET-20260813-009
PAY-00085,PAY-00085,PGTXN-20260085,INV-2026-00085,Vertex Systems,2026-08-15,32000.0,INR,CAPTURED,640.0,115.2,31244.8,SET-20260815-009
PAY-00086,PAY-00086,PGTXN-20260086,INV-2026-00086,Orion Healthcare,2026-08-17,1470.0,INR,CAPTURED,0.0,0.0,1470.0,SET-20260817-009
PAY-00087,PAY-00087,PGTXN-20260087,INV-2026-00087,MetroMart India,2026-08-16,7650.0,INR,CAPTURED,0.0,0.0,7650.0,SET-20260816-009
PAY-00088,PAY-00088,PGTXN-20260088,INV-2026-00088,CloudNine Services,2026-08-18,23100.0,INR,CAPTURED,0.0,0.0,23100.0,SET-20260818-009
PAY-00089,PAY-00089,PGTXN-20260089,INV-2026-00089,Apex Manufacturing,2026-08-20,1920.0,INR,CAPTURED,0.0,0.0,1920.0,SET-20260820-009
PAY-00090,PAY-00090,PGTXN-20260090,INV-2026-00090,Sunrise Enterprises,2026-08-19,8700.0,INR,CAPTURED,0.0,0.0,8700.0,SET-20260819-009
PAY-00091,PAY-00091,PGTXN-20260091,INV-2026-00091,Silverline Media,2026-08-21,45000.0,INR,CAPTURED,0.0,0.0,45000.0,SET-20260821-010
PAY-00092,PAY-00092,PGTXN-20260092,INV-2026-00092,PrimeBuild Infra,2026-08-23,4750.0,INR,CAPTURED,0.0,0.0,4750.0,SET-20260823-010
PAY-00093,PAY-00093,PGTXN-20260093,INV-2026-00093,UrbanCart,2026-08-22,16800.0,INR,CAPTURED,0.0,0.0,16800.0,SET-20260822-010
PAY-00094,PAY-00094,PGTXN-20260094,INV-2026-00094,Zenith Consulting,2026-08-24,56000.0,INR,CAPTURED,0.0,0.0,56000.0,SET-20260824-010
PAY-00095,PAY-00095,PGTXN-20260095,INV-2026-00095,Everest Electronics,2026-08-26,5600.0,INR,CAPTURED,0.0,0.0,5600.0,SET-20260826-010
PAY-00096,PAY-00096,PGTXN-20260096,INV-2026-00096,BrightPath Education,2026-08-25,19250.0,INR,CAPTURED,0.0,0.0,19250.0,SET-20260825-010
PAY-00097,PAY-00097,PGTXN-20260097,INV-2026-00097,RapidRoute Couriers,2026-08-03,75000.0,INR,CAPTURED,0.0,0.0,75000.0,SET-20260803-010
PAY-00098,PAY-00098,PGTXN-20260098,INV-2026-00098,NorthStar Energy,2026-08-05,7250.0,INR,CAPTURED,0.0,0.0,7250.0,SET-20260805-010
PAY-00099,PAY-00099,PGTXN-20260099,INV-2026-00099,Crescent Textiles,2026-08-04,22500.0,INR,CAPTURED,0.0,0.0,22500.0,SET-20260804-010
PAY-00100,PAY-00100,PGTXN-20260100,INV-2026-0100,Lakeview Hospitality,2026-08-06,1250.0,INR,CAPTURED,0.0,0.0,1250.0,SET-20260806-010
