bank_txn_id,transaction_date,value_date,amount,credit_amount,debit_amount,description,reference,utr,transaction_type,currency,balance
BNK_BATCH_BATCH001,2026-08-11,2026-08-11,13752.63,13752.63,0.0,RAZORPAY PAYOUT BATCH - 2 TXNS - REF 196781 UTR UTR8019198243,BATCH-196781,UTR8019198243,CREDIT,INR,1783117.16
BNK_TXN00006,2026-08-14,2026-08-14,81459.97,81459.97,0.0,NEFT CR - NEXUS RETAIL SOLUTIONS - REF 340174 UTR UTR3392080953,REF-340174,UTR3392080953,CREDIT,INR,1456819.45
BNK_TXN00040_B,2026-08-10,2026-08-10,54864.64,54864.64,0.0,NEFT CR - SOLARIS ENERGY CORP - REF 903013 DUP2 UTR UTR4228856718,REF-903013-2,UTR4228856718,CREDIT,INR,3710951.88
BNK_TXN00020,2026-08-04,2026-08-04,52592.9,52592.9,0.0,NEFT CR - QUANTUM CLOUD SYSTEMS - REF 804318 UTR UTR6320115677,REF-804318,UTR6320115677,CREDIT,INR,2919354.82
BNK_TXN00045,2026-08-12,2026-08-12,30446.97,0.0,30446.97,REVERSAL/REFUND - SUMMIT TELECOM - 242291 UTR UTR1116402431,REF-242291,UTR1116402431,DEBIT,INR,1452471.28
BNK_BATCH_BATCH003,2026-08-10,2026-08-10,12298.95,12298.95,0.0,RAZORPAY PAYOUT BATCH - 2 TXNS - REF 288073 UTR UTR9292791081,BATCH-288073,UTR9292791081,CREDIT,INR,2560464.83
BNK_TXN00013,2026-08-10,2026-08-10,20526.73,20526.73,0.0,NEFT CR - APEX GLOBAL LOGISTICS - REF 132938 UTR UTR3710566582,REF-132938,UTR3710566582,CREDIT,INR,3755086.55
BNK_TXN00021,2026-08-19,2026-08-19,2721.54,2721.54,0.0,NEFT CR - APEX GLOBAL LOGISTICS - REF 356150 UTR UTR2139027119,REF-356150,UTR2139027119,CREDIT,INR,4725185.02
BNK_TXN00039_B,2026-08-20,2026-08-20,56539.56,56539.56,0.0,NEFT CR - INNOVATE DIGITAL LABS - REF 954596 DUP2 UTR UTR9123612497,REF-954596-2,UTR9123612497,CREDIT,INR,3846449.49
BNK_TXN00043,2026-08-15,2026-08-15,219445.06,219445.06,0.0,DIRECT WIRE - AEGIS SECURITY SOLUTIONS - 106182 UTR UTR7767538527,REF-106182,UTR7767538527,CREDIT,INR,3863820.51
BNK_TXN00031,2026-08-16,2026-08-16,9570.17,9570.17,0.0,UPI/CMS SETTLEMENT - Pinnacle Foods Ltd - 910891 UTR UTR6124453431,910891,UTR6124453431,CREDIT,INR,3112653.8
BNK_TXN00003,2026-08-10,2026-08-10,5357.86,5357.86,0.0,NEFT CR - BLUEWAVE MARITIME - REF 201414 UTR UTR2445662585,REF-201414,UTR2445662585,CREDIT,INR,854600.89
BNK_TXN00008,2026-08-15,2026-08-15,2753.2,2753.2,0.0,NEFT CR - NEXUS RETAIL SOLUTIONS - REF 214975 UTR UTR7483366056,REF-214975,UTR7483366056,CREDIT,INR,2881014.55
BNK_TXN00011,2026-08-16,2026-08-16,131092.81,131092.81,0.0,NEFT CR - HORIZON HEALTHCARE - REF 694916 UTR UTR2320763135,REF-694916,UTR2320763135,CREDIT,INR,4760819.06
BNK_TXN00009,2026-08-06,2026-08-06,9562.81,9562.81,0.0,NEFT CR - METRO MOBILITY CABS - REF 887352 UTR UTR9639245200,REF-887352,UTR9639245200,CREDIT,INR,514603.92
BNK_TXN00019,2026-08-05,2026-08-05,1050.84,1050.84,0.0,NEFT CR - SILVERLINE CHEMICALS - REF 358175 UTR UTR6305160342,REF-358175,UTR6305160342,CREDIT,INR,3513766.89
BNK_TXN00041_A,2026-08-09,2026-08-09,10313.0,10313.0,0.0,NEFT CR - QUANTUM CLOUD SYSTEMS - REF 258157 DUP1 UTR UTR6461974809,REF-258157-1,UTR6461974809,CREDIT,INR,2366905.53
BNK_TXN00049,2026-08-09,2026-08-09,387342.89,0.0,387342.89,REVERSAL/REFUND - INNOVATE DIGITAL LABS - 736745 UTR UTR2584392711,REF-736745,UTR2584392711,DEBIT,INR,3104081.3
BNK_TXN00014,2026-08-16,2026-08-16,1823.65,1823.65,0.0,NEFT CR - AEGIS SECURITY SOLUTIONS - REF 946721 UTR UTR7769777475,REF-946721,UTR7769777475,CREDIT,INR,4387265.37
BNK_TXN00015,2026-08-08,2026-08-08,35282.98,35282.98,0.0,NEFT CR - PINNACLE FOOD PRODUCTS - REF 939482 UTR UTR1422701550,REF-939482,UTR1422701550,CREDIT,INR,1753453.15
BNK_TXN00036,2026-08-17,2026-08-17,72289.43,72289.43,0.0,NEFT CR - HORIZON HEALTHCARE - REF 598216 UTR UTR1104906255,REF-598216,UTR1104906255,CREDIT,INR,3732556.62
BNK_TXN00018,2026-08-16,2026-08-16,1198.1,1198.1,0.0,NEFT CR - NEXUS RETAIL SOLUTIONS - REF 884309 UTR UTR5160575046,REF-884309,UTR5160575046,CREDIT,INR,808346.0
BNK_TXN00012,2026-08-04,2026-08-04,3998.0,3998.0,0.0,NEFT CR - OMNI RETAIL VENTURES - REF 642717 UTR UTR6633778586,REF-642717,UTR6633778586,CREDIT,INR,532358.78
BNK_TXN00041_B,2026-08-09,2026-08-09,10313.0,10313.0,0.0,NEFT CR - QUANTUM CLOUD SYSTEMS - REF 258157 DUP2 UTR UTR3319936135,REF-258157-2,UTR3319936135,CREDIT,INR,1988966.26
BNK_TXN00010,2026-08-07,2026-08-07,5781.99,5781.99,0.0,NEFT CR - CRESTVIEW REAL ESTATE - REF 738551 UTR UTR4919706735,REF-738551,UTR4919706735,CREDIT,INR,1003404.76
BNK_TXN00035,2026-08-24,2026-08-24,7785.86,7785.86,0.0,UPI/CMS SETTLEMENT - CRESTVIEW REAL ESTATE - 790855 UTR UTR3901796894,790855,UTR3901796894,CREDIT,INR,4129533.03
BNK_BATCH_BATCH002,2026-08-14,2026-08-14,22238.84,22238.84,0.0,RAZORPAY PAYOUT BATCH - 4 TXNS - REF 256294 UTR UTR3343292475,BATCH-256294,UTR3343292475,CREDIT,INR,7169913.43
BNK_TXN00033,2026-08-15,2026-08-15,12494.23,12494.23,0.0,UPI/CMS SETTLEMENT - Summit Telecom India - 753425 UTR UTR6141226746,753425,UTR6141226746,CREDIT,INR,3637437.86
BNK_TXN00007,2026-08-21,2026-08-21,59377.88,59377.88,0.0,NEFT CR - QUANTUM CLOUD SYSTEMS - REF 358607 UTR UTR2970753705,REF-358607,UTR2970753705,CREDIT,INR,4987966.0
BNK_TXN00037,2026-08-06,2026-08-06,13924.18,13924.18,0.0,NEFT CR - HORIZON HEALTHCARE - REF 254739 UTR UTR7418301077,REF-254739,UTR7418301077,CREDIT,INR,1291490.07
BNK_TXN00032,2026-08-20,2026-08-20,50864.07,50864.07,0.0,UPI/CMS SETTLEMENT - Innovate Digital Labs LLC - 863934 UTR UTR1164313410,863934,UTR1164313410,CREDIT,INR,3689533.78
BNK_TXN00001,2026-08-19,2026-08-19,1939.31,1939.31,0.0,NEFT CR - HORIZON HEALTHCARE - REF 334053 UTR UTR1478163327,REF-334053,UTR1478163327,CREDIT,INR,921628.58
BNK_TXN00022,2026-08-12,2026-08-12,9051.26,9051.26,0.0,NEFT CR - METRO MOBILITY CABS - REF 262998 UTR UTR2135872495,REF-262998,UTR2135872495,CREDIT,INR,4574014.21
BNK_TXN00044,2026-08-15,2026-08-15,7541.81,7541.81,0.0,DIRECT WIRE - AEGIS SECURITY SOLUTIONS - 330080 UTR UTR4856070374,REF-330080,UTR4856070374,CREDIT,INR,3758816.2
