bank_txn_id,transaction_date,value_date,amount,credit_amount,debit_amount,description,reference,utr,transaction_type,currency,balance
BNK_TXN00043,2026-08-20,2026-08-20,81499.99,81499.99,0.0,NEFT CR - PARAMOUNT CONSULTING GROUP - REF 991597 UTR UTR3693985578,REF-991597,UTR3693985578,CREDIT,INR,810305.31
BNK_TXN00014,2026-08-16,2026-08-16,1823.65,1823.65,0.0,NEFT CR - AEGIS SECURITY SOLUTIONS - REF 946721 UTR UTR7769777475,REF-946721,UTR7769777475,CREDIT,INR,4387265.37
BNK_TXN00184,2026-08-11,2026-08-11,11088.55,11088.55,0.0,NEFT CR - VORTEX MANUFACTURING - REF 749887 UTR UTR1639509845,REF-749887,UTR1639509845,CREDIT,INR,2178732.13
BNK_TXN00058,2026-08-05,2026-08-05,55456.29,55456.29,0.0,NEFT CR - SILVERLINE CHEMICALS - REF 557058 UTR UTR9229469952,REF-557058,UTR9229469952,CREDIT,INR,1944762.15
BNK_TXN00199_A,2026-08-21,2026-08-21,8953.63,8953.63,0.0,NEFT CR - BLUEWAVE MARITIME - REF 177558 DUP1 UTR UTR3828935922,REF-177558-1,UTR3828935922,CREDIT,INR,2904653.31
BNK_TXN00094,2026-08-05,2026-08-05,49312.1,49312.1,0.0,NEFT CR - SILVERLINE CHEMICALS - REF 524068 UTR UTR8997701619,REF-524068,UTR8997701619,CREDIT,INR,4105949.69
BNK_TXN00167,2026-08-09,2026-08-09,1275.89,1275.89,0.0,UPI/CMS SETTLEMENT - Vortex Mfg Pvt Ltd - 635167 UTR UTR2897690739,635167,UTR2897690739,CREDIT,INR,3754760.36
BNK_TXN00180,2026-08-07,2026-08-07,40441.47,40441.47,0.0,NEFT CR - OMNI RETAIL VENTURES - REF 276405 UTR UTR8471499716,REF-276405,UTR8471499716,CREDIT,INR,1328214.98
BNK_TXN00100,2026-08-14,2026-08-14,2735.69,2735.69,0.0,NEFT CR - OMNI RETAIL VENTURES - REF 649525 UTR UTR1168114160,REF-649525,UTR1168114160,CREDIT,INR,3555039.74
BNK_TXN00066,2026-08-21,2026-08-21,2529.13,2529.13,0.0,NEFT CR - CRESTVIEW REAL ESTATE - REF 579123 UTR UTR8924383984,REF-579123,UTR8924383984,CREDIT,INR,2023525.55
BNK_BATCH_BATCH010,2026-08-14,2026-08-14,14363.93,14363.93,0.0,RAZORPAY PAYOUT BATCH - 3 TXNS - REF 853258 UTR UTR2712474804,BATCH-853258,UTR2712474804,CREDIT,INR,6694344.93
BNK_TXN00200_B,2026-08-08,2026-08-08,9898.8,9898.8,0.0,NEFT CR - ZENITH FINANCIAL SERVICES - REF 906306 DUP2 UTR UTR4927323476,REF-906306-2,UTR4927323476,CREDIT,INR,3402640.42
BNK_TXN00005,2026-08-21,2026-08-21,72892.88,72892.88,0.0,NEFT CR - TITANIUM INFRASTRUCTURE - REF 319684 UTR UTR2566942273,REF-319684,UTR2566942273,CREDIT,INR,2580170.95
BNK_TXN00097,2026-08-21,2026-08-21,53151.32,53151.32,0.0,NEFT CR - STARLIGHT MEDIA WORKS - REF 910389 UTR UTR3587283948,REF-910389,UTR3587283948,CREDIT,INR,2478932.67
BNK_TXN00052,2026-08-09,2026-08-09,4789.84,4789.84,0.0,NEFT CR - QUANTUM CLOUD SYSTEMS - REF 950544 UTR UTR3948284698,REF-950544,UTR3948284698,CREDIT,INR,2527315.09
BNK_TXN00228,2026-08-08,2026-08-08,13274.34,0.0,13274.34,REVERSAL/REFUND - ZENITH FINANCIAL SERVICES - 208214 UTR UTR2645272822,REF-208214,UTR2645272822,DEBIT,INR,3387092.67
BNK_TXN00166,2026-08-21,2026-08-21,12221.82,12221.82,0.0,UPI/CMS SETTLEMENT - Omni Retail Pvt Ltd - 691573 UTR UTR9941564880,691573,UTR9941564880,CREDIT,INR,1976529.37
BNK_TXN00240,2026-08-22,2026-08-22,11547.19,11547.19,0.0,NEFT CR - STARLIGHT MEDIA WORKS - REF 489933 UTR UTR8390631634,REF-489933,UTR8390631634,CREDIT,INR,3971436.31
BNK_TXN00010,2026-08-07,2026-08-07,5781.99,5781.99,0.0,NEFT CR - CRESTVIEW REAL ESTATE - REF 738551 UTR UTR4919706735,REF-738551,UTR4919706735,CREDIT,INR,1003404.76
BNK_TXN00053,2026-08-22,2026-08-22,11286.89,11286.89,0.0,NEFT CR - INNOVATE DIGITAL LABS - REF 876039 UTR UTR7136777415,REF-876039,UTR7136777415,CREDIT,INR,1579393.3
BNK_TXN00194_B,2026-08-11,2026-08-11,2855.49,2855.49,0.0,NEFT CR - SOLARIS ENERGY CORP - REF 617077 DUP2 UTR UTR6449965466,REF-617077-2,UTR6449965466,CREDIT,INR,4021999.81
BNK_TXN00218,2026-08-22,2026-08-22,90898.29,90898.29,0.0,NEFT CR - QUANTUM CLOUD SYSTEMS - REF 886530 UTR UTR4501175349,REF-886530,UTR4501175349,CREDIT,INR,3656419.37
BNK_TXN00089,2026-08-16,2026-08-16,5814.28,5814.28,0.0,NEFT CR - APEX GLOBAL LOGISTICS - REF 882354 UTR UTR1298867122,REF-882354,UTR1298867122,CREDIT,INR,3747181.85
BNK_TXN00175,2026-08-04,2026-08-04,9053.24,9053.24,0.0,UPI/CMS SETTLEMENT - Metro Mobility Services - 381502 UTR UTR2593765711,381502,UTR2593765711,CREDIT,INR,4412632.33
BNK_TXN00161,2026-08-12,2026-08-12,7501.75,7501.75,0.0,UPI/CMS SETTLEMENT - Summit Telecommunications Ltd - 976822 UTR UTR4957687327,976822,UTR4957687327,CREDIT,INR,1780527.44
BNK_BATCH_BATCH009,2026-08-12,2026-08-12,10019.69,10019.69,0.0,RAZORPAY PAYOUT BATCH - 2 TXNS - REF 622230 UTR UTR7638204740,BATCH-622230,UTR7638204740,CREDIT,INR,5246621.84
BNK_TXN00040,2026-08-12,2026-08-12,18968.79,18968.79,0.0,NEFT CR - AEGIS SECURITY SOLUTIONS - REF 120324 UTR UTR7105574449,REF-120324,UTR7105574449,CREDIT,INR,4773252.8
BNK_TXN00191_B,2026-08-07,2026-08-07,11586.36,11586.36,0.0,NEFT CR - SOLARIS ENERGY CORP - REF 261712 DUP2 UTR UTR1315708805,REF-261712-2,UTR1315708805,CREDIT,INR,979479.13
BNK_TXN00001,2026-08-19,2026-08-19,1939.31,1939.31,0.0,NEFT CR - HORIZON HEALTHCARE - REF 334053 UTR UTR1478163327,REF-334053,UTR1478163327,CREDIT,INR,921628.58
BNK_TXN00244,2026-08-31,2026-08-31,432539.42,432539.42,0.0,NEFT CR - QUANTUM CLOUD SYSTEMS - REF 287654 UTR UTR6858234447,REF-287654,UTR6858234447,CREDIT,INR,1510318.91
BNK_TXN00194_A,2026-08-11,2026-08-11,2855.49,2855.49,0.0,NEFT CR - SOLARIS ENERGY CORP - REF 617077 DUP1 UTR UTR1728004476,REF-617077-1,UTR1728004476,CREDIT,INR,1848885.14
BNK_TXN00002,2026-08-02,2026-08-02,8830.9,8830.9,0.0,NEFT CR - METRO MOBILITY CABS - REF 539898 UTR UTR9703905715,REF-539898,UTR9703905715,CREDIT,INR,1199657.75
BNK_TXN00219,2026-08-16,2026-08-16,12731.56,0.0,12731.56,REVERSAL/REFUND - PINNACLE FOOD PRODUCTS - 968726 UTR UTR2072355594,REF-968726,UTR2072355594,DEBIT,INR,3098414.88
BNK_TXN00162,2026-08-20,2026-08-20,42090.8,42090.8,0.0,UPI/CMS SETTLEMENT - Crestview Realty Pvt Ltd - 302177 UTR UTR5031086659,302177,UTR5031086659,CREDIT,INR,4058454.49
BNK_TXN00015,2026-08-08,2026-08-08,35282.98,35282.98,0.0,NEFT CR - PINNACLE FOOD PRODUCTS - REF 939482 UTR UTR1422701550,REF-939482,UTR1422701550,CREDIT,INR,1753453.15
BNK_TXN00088,2026-08-12,2026-08-12,11282.24,11282.24,0.0,NEFT CR - ACME TECHNOLOGIES - REF 289179 UTR UTR3391179068,REF-289179,UTR3391179068,CREDIT,INR,3048444.93
BNK_TXN00188,2026-08-21,2026-08-21,12997.17,12997.17,0.0,NEFT CR - STARLIGHT MEDIA WORKS - REF 991737 UTR UTR3826557688,REF-991737,UTR3826557688,CREDIT,INR,4679937.23
BNK_TXN00112,2026-08-12,2026-08-12,11651.91,11651.91,0.0,NEFT CR - SOLARIS ENERGY CORP - REF 883618 UTR UTR8025152555,REF-883618,UTR8025152555,CREDIT,INR,699510.6
BNK_TXN00082,2026-08-19,2026-08-19,114576.64,114576.64,0.0,NEFT CR - CRESTVIEW REAL ESTATE - REF 332311 UTR UTR3549776132,REF-332311,UTR3549776132,CREDIT,INR,4993640.4
BNK_TXN00154,2026-08-23,2026-08-23,79062.78,79062.78,0.0,UPI/CMS SETTLEMENT - ACME TECH - 787436 UTR UTR7801948900,787436,UTR7801948900,CREDIT,INR,2859045.5
BNK_TXN00192_A,2026-08-17,2026-08-17,3141.26,3141.26,0.0,NEFT CR - SOLARIS ENERGY CORP - REF 207197 DUP1 UTR UTR9344950649,REF-207197-1,UTR9344950649,CREDIT,INR,2336198.79
BNK_TXN00080,2026-08-06,2026-08-06,98747.46,98747.46,0.0,NEFT CR - QUANTUM CLOUD SYSTEMS - REF 926952 UTR UTR4735313433,REF-926952,UTR4735313433,CREDIT,INR,3474759.39
BNK_TXN00227,2026-08-27,2026-08-27,82461.14,82461.14,0.0,NEFT CR - ACME TECHNOLOGIES - REF 108454 UTR UTR8215470878,REF-108454,UTR8215470878,CREDIT,INR,2649651.09
BNK_TXN00198_A,2026-08-16,2026-08-16,82615.23,82615.23,0.0,NEFT CR - PARAMOUNT CONSULTING GROUP - REF 971662 DUP1 UTR UTR8418324922,REF-971662-1,UTR8418324922,CREDIT,INR,1126306.05
BNK_TXN00019,2026-08-05,2026-08-05,1050.84,1050.84,0.0,NEFT CR - SILVERLINE CHEMICALS - REF 358175 UTR UTR6305160342,REF-358175,UTR6305160342,CREDIT,INR,3513766.89
BNK_TXN00237,2026-09-03,2026-09-03,8790.86,8790.86,0.0,NEFT CR - QUANTUM CLOUD SYSTEMS - REF 662445 UTR UTR4955342162,REF-662445,UTR4955342162,CREDIT,INR,1895762.72
BNK_TXN00109,2026-08-09,2026-08-09,1609.85,1609.85,0.0,NEFT CR - OMNI RETAIL VENTURES - REF 745239 UTR UTR4569592370,REF-745239,UTR4569592370,CREDIT,INR,3992776.85
BNK_TXN00208,2026-08-14,2026-08-14,5990.47,5990.47,0.0,NEFT CR - CRESTVIEW REAL ESTATE - REF 770153 UTR UTR8999963054,REF-770153,UTR8999963054,CREDIT,INR,2065660.87
BNK_TXN00095,2026-08-05,2026-08-05,6157.69,6157.69,0.0,NEFT CR - ZENITH FINANCIAL SERVICES - REF 355135 UTR UTR2554145481,REF-355135,UTR2554145481,CREDIT,INR,1998808.8
BNK_TXN00200_A,2026-08-08,2026-08-08,9898.8,9898.8,0.0,NEFT CR - ZENITH FINANCIAL SERVICES - REF 906306 DUP1 UTR UTR9454334062,REF-906306-1,UTR9454334062,CREDIT,INR,3034491.31
BNK_BATCH_BATCH001,2026-08-08,2026-08-08,11630.84,11630.84,0.0,RAZORPAY PAYOUT BATCH - 4 TXNS - REF 454992 UTR UTR8281641403,BATCH-454992,UTR8281641403,CREDIT,INR,4058659.68
BNK_TXN00023,2026-08-22,2026-08-22,11405.56,11405.56,0.0,NEFT CR - SOLARIS ENERGY CORP - REF 146228 UTR UTR1218179599,REF-146228,UTR1218179599,CREDIT,INR,3024080.89
BNK_TXN00087,2026-08-09,2026-08-09,9786.15,9786.15,0.0,NEFT CR - SILVERLINE CHEMICALS - REF 632060 UTR UTR6636925105,REF-632060,UTR6636925105,CREDIT,INR,3931725.34
BNK_TXN00099,2026-08-03,2026-08-03,2624.07,2624.07,0.0,NEFT CR - PINNACLE FOOD PRODUCTS - REF 734394 UTR UTR5471158508,REF-734394,UTR5471158508,CREDIT,INR,2770470.51
BNK_TXN00074,2026-08-18,2026-08-18,35972.98,35972.98,0.0,NEFT CR - CRESTVIEW REAL ESTATE - REF 385765 UTR UTR9467483275,REF-385765,UTR9467483275,CREDIT,INR,4833019.82
BNK_TXN00093,2026-08-13,2026-08-13,9946.3,9946.3,0.0,NEFT CR - HORIZON HEALTHCARE - REF 624563 UTR UTR5849815676,REF-624563,UTR5849815676,CREDIT,INR,584336.91
BNK_TXN00090,2026-08-05,2026-08-05,18775.98,18775.98,0.0,NEFT CR - QUANTUM CLOUD SYSTEMS - REF 265056 UTR UTR3560761628,REF-265056,UTR3560761628,CREDIT,INR,3231842.03
BNK_TXN00069,2026-08-21,2026-08-21,12817.37,12817.37,0.0,NEFT CR - STARLIGHT MEDIA WORKS - REF 283573 UTR UTR7576309274,REF-283573,UTR7576309274,CREDIT,INR,2575174.61
BNK_TXN00171,2026-08-17,2026-08-17,8897.15,8897.15,0.0,UPI/CMS SETTLEMENT - SUMMIT TELECOM - 316092 UTR UTR1484664056,316092,UTR1484664056,CREDIT,INR,1554526.75
BNK_TXN00234,2026-08-17,2026-08-17,12665.11,0.0,12665.11,REVERSAL/REFUND - PINNACLE FOOD PRODUCTS - 238394 UTR UTR9533595495,REF-238394,UTR9533595495,DEBIT,INR,3573239.22
BNK_BATCH_BATCH005,2026-08-05,2026-08-05,19286.79,19286.79,0.0,RAZORPAY PAYOUT BATCH - 3 TXNS - REF 309902 UTR UTR1526723719,BATCH-309902,UTR1526723719,CREDIT,INR,7895927.83
BNK_TXN00190_A,2026-08-14,2026-08-14,289250.08,289250.08,0.0,NEFT CR - SOLARIS ENERGY CORP - REF 921609 DUP1 UTR UTR7853087029,REF-921609-1,UTR7853087029,CREDIT,INR,2443315.76
BNK_TXN00021,2026-08-19,2026-08-19,2721.54,2721.54,0.0,NEFT CR - APEX GLOBAL LOGISTICS - REF 356150 UTR UTR2139027119,REF-356150,UTR2139027119,CREDIT,INR,4725185.02
BNK_TXN00030,2026-08-14,2026-08-14,6270.15,6270.15,0.0,NEFT CR - PARAMOUNT CONSULTING GROUP - REF 631756 UTR UTR7971399399,REF-631756,UTR7971399399,CREDIT,INR,3492182.45
BNK_TXN00075,2026-08-14,2026-08-14,2237.95,2237.95,0.0,NEFT CR - BLUEWAVE MARITIME - REF 114594 UTR UTR7688606771,REF-114594,UTR7688606771,CREDIT,INR,3536764.5
BNK_TXN00108,2026-08-05,2026-08-05,5000.07,5000.07,0.0,NEFT CR - APEX GLOBAL LOGISTICS - REF 493124 UTR UTR2606152369,REF-493124,UTR2606152369,CREDIT,INR,1790957.29
BNK_BATCH_BATCH006,2026-08-03,2026-08-03,12513.93,12513.93,0.0,RAZORPAY PAYOUT BATCH - 2 TXNS - REF 348235 UTR UTR8689593739,BATCH-348235,UTR8689593739,CREDIT,INR,4679869.58
BNK_TXN00061,2026-08-09,2026-08-09,9407.92,9407.92,0.0,NEFT CR - AEGIS SECURITY SOLUTIONS - REF 227324 UTR UTR9279291478,REF-227324,UTR9279291478,CREDIT,INR,919441.41
BNK_TXN00172,2026-08-22,2026-08-22,322645.65,322645.65,0.0,UPI/CMS SETTLEMENT - QUANTUM CLOUD - 955413 UTR UTR4333167876,955413,UTR4333167876,CREDIT,INR,2361020.93
BNK_TXN00153,2026-08-23,2026-08-23,58827.01,58827.01,0.0,UPI/CMS SETTLEMENT - Innovate Digital Labs LLC - 631958 UTR UTR5992908271,631958,UTR5992908271,CREDIT,INR,3532128.77
BNK_TXN00192_B,2026-08-17,2026-08-17,3141.26,3141.26,0.0,NEFT CR - SOLARIS ENERGY CORP - REF 207197 DUP2 UTR UTR7205093305,REF-207197-2,UTR7205093305,CREDIT,INR,618178.57
BNK_TXN00029,2026-08-19,2026-08-19,14786.36,14786.36,0.0,NEFT CR - SOLARIS ENERGY CORP - REF 146542 UTR UTR5791662169,REF-146542,UTR5791662169,CREDIT,INR,4769935.19
BNK_TXN00205,2026-08-14,2026-08-14,188193.51,188193.51,0.0,NEFT CR - METRO MOBILITY CABS - REF 547080 UTR UTR5982744929,REF-547080,UTR5982744929,CREDIT,INR,1338741.16
BNK_TXN00231,2026-08-22,2026-08-22,2467.89,2467.89,0.0,NEFT CR - TITANIUM INFRASTRUCTURE - REF 550246 UTR UTR8430332727,REF-550246,UTR8430332727,CREDIT,INR,1616751.62
BNK_TXN00195_B,2026-08-13,2026-08-13,13921.45,13921.45,0.0,NEFT CR - ZENITH FINANCIAL SERVICES - REF 242071 DUP2 UTR UTR6134840512,REF-242071-2,UTR6134840512,CREDIT,INR,1982937.72
BNK_TXN00183,2026-08-12,2026-08-12,4035.37,4035.37,0.0,NEFT CR - ACME TECHNOLOGIES - REF 117538 UTR UTR7664258343,REF-117538,UTR7664258343,CREDIT,INR,4127754.65
BNK_TXN00035,2026-08-18,2026-08-18,9516.08,9516.08,0.0,NEFT CR - SOLARIS ENERGY CORP - REF 888295 UTR UTR8995059760,REF-888295,UTR8995059760,CREDIT,INR,848675.09
BNK_TXN00152,2026-08-19,2026-08-19,10591.09,10591.09,0.0,UPI/CMS SETTLEMENT - Vortex Mfg Pvt Ltd - 147504 UTR UTR4242550727,147504,UTR4242550727,CREDIT,INR,4691159.31
BNK_TXN00042,2026-08-21,2026-08-21,13639.19,13639.19,0.0,NEFT CR - PARAMOUNT CONSULTING GROUP - REF 213349 UTR UTR4085320828,REF-213349,UTR4085320828,CREDIT,INR,3164440.38
BNK_TXN00065,2026-08-14,2026-08-14,7184.51,7184.51,0.0,NEFT CR - SUMMIT TELECOM - REF 145767 UTR UTR7750819485,REF-145767,UTR7750819485,CREDIT,INR,1068108.21
BNK_TXN00073,2026-08-05,2026-08-05,10856.81,10856.81,0.0,NEFT CR - OMNI RETAIL VENTURES - REF 134985 UTR UTR3776011793,REF-134985,UTR3776011793,CREDIT,INR,1403576.58
BNK_TXN00169,2026-08-22,2026-08-22,14138.36,14138.36,0.0,UPI/CMS SETTLEMENT - BlueWave - 493892 UTR UTR7100408092,493892,UTR7100408092,CREDIT,INR,4967810.49
BNK_TXN00160,2026-08-19,2026-08-19,440707.75,440707.75,0.0,UPI/CMS SETTLEMENT - Metro Cabs - 784607 UTR UTR1590416424,784607,UTR1590416424,CREDIT,INR,4585716.31
BNK_TXN00215,2026-08-12,2026-08-12,17739.58,0.0,17739.58,REVERSAL/REFUND - HORIZON HEALTHCARE - 412170 UTR UTR2826025489,REF-412170,UTR2826025489,DEBIT,INR,2475814.57
BNK_TXN00250,2026-08-18,2026-08-18,1841.36,1841.36,0.0,NEFT CR - OMNI RETAIL VENTURES - REF 884229 UTR UTR9141445255,REF-884229,UTR9141445255,CREDIT,INR,836737.18
BNK_TXN00062,2026-08-12,2026-08-12,56008.18,56008.18,0.0,NEFT CR - ZENITH FINANCIAL SERVICES - REF 779172 UTR UTR4921003983,REF-779172,UTR4921003983,CREDIT,INR,1596789.08
BNK_TXN00046,2026-08-14,2026-08-14,7390.83,7390.83,0.0,NEFT CR - AEGIS SECURITY SOLUTIONS - REF 992288 UTR UTR6922713963,REF-992288,UTR6922713963,CREDIT,INR,3001059.63
BNK_TXN00212,2026-08-18,2026-08-18,49776.42,49776.42,0.0,DIRECT WIRE - METRO MOBILITY CABS - 629990 UTR UTR8796293088,REF-629990,UTR8796293088,CREDIT,INR,2699147.8
BNK_TXN00101,2026-08-10,2026-08-10,5961.1,5961.1,0.0,NEFT CR - PINNACLE FOOD PRODUCTS - REF 199096 UTR UTR8075122626,REF-199096,UTR8075122626,CREDIT,INR,4625359.05
BNK_TXN00049,2026-08-18,2026-08-18,30542.75,30542.75,0.0,NEFT CR - METRO MOBILITY CABS - REF 899213 UTR UTR6122110529,REF-899213,UTR6122110529,CREDIT,INR,1833109.08
BNK_TXN00003,2026-08-10,2026-08-10,5357.86,5357.86,0.0,NEFT CR - BLUEWAVE MARITIME - REF 201414 UTR UTR2445662585,REF-201414,UTR2445662585,CREDIT,INR,854600.89
BNK_TXN00176,2026-08-11,2026-08-11,284687.33,284687.33,0.0,UPI/CMS SETTLEMENT - Vortex Mfg Pvt Ltd - 883159 UTR UTR4904100195,883159,UTR4904100195,CREDIT,INR,2212977.85
BNK_TXN00070,2026-08-17,2026-08-17,27757.03,27757.03,0.0,NEFT CR - OMNI RETAIL VENTURES - REF 401603 UTR UTR7268807553,REF-401603,UTR7268807553,CREDIT,INR,2555761.16
BNK_TXN00179,2026-08-10,2026-08-10,5406.91,5406.91,0.0,NEFT CR - QUANTUM CLOUD SYSTEMS - REF 305721 UTR UTR7088451458,REF-305721,UTR7088451458,CREDIT,INR,1657970.41
BNK_TXN00248,2026-08-21,2026-08-21,109564.1,0.0,109564.1,REVERSAL/REFUND - QUANTUM CLOUD SYSTEMS - 106687 UTR UTR4418680334,REF-106687,UTR4418680334,DEBIT,INR,4779456.18
BNK_TXN00181,2026-08-04,2026-08-04,19186.27,19186.27,0.0,NEFT CR - CRESTVIEW REAL ESTATE - REF 135466 UTR UTR5111301175,REF-135466,UTR5111301175,CREDIT,INR,1118711.89
BNK_TXN00235,2026-08-05,2026-08-05,3628.27,0.0,3628.27,REVERSAL/REFUND - SILVERLINE CHEMICALS - 170813 UTR UTR1313497572,REF-170813,UTR1313497572,DEBIT,INR,1789195.1
BNK_TXN00193_A,2026-08-05,2026-08-05,5978.59,5978.59,0.0,NEFT CR - BLUEWAVE MARITIME - REF 112940 DUP1 UTR UTR3380355948,REF-112940-1,UTR3380355948,CREDIT,INR,3073821.94
BNK_TXN00185,2026-08-23,2026-08-23,19667.2,19667.2,0.0,NEFT CR - PARAMOUNT CONSULTING GROUP - REF 817269 UTR UTR3994607170,REF-817269,UTR3994607170,CREDIT,INR,2323752.34
BNK_TXN00083,2026-08-04,2026-08-04,126342.53,126342.53,0.0,NEFT CR - AEGIS SECURITY SOLUTIONS - REF 847006 UTR UTR7019900273,REF-847006,UTR7019900273,CREDIT,INR,1737572.0
BNK_TXN00026,2026-08-14,2026-08-14,10416.75,10416.75,0.0,NEFT CR - HORIZON HEALTHCARE - REF 379766 UTR UTR9265609985,REF-379766,UTR9265609985,CREDIT,INR,4174639.73
BNK_TXN00239,2026-08-19,2026-08-19,664.58,0.0,664.58,REVERSAL/REFUND - ACME TECHNOLOGIES - 842287 UTR UTR1754393408,REF-842287,UTR1754393408,DEBIT,INR,2827502.79
BNK_TXN00018,2026-08-16,2026-08-16,1198.1,1198.1,0.0,NEFT CR - NEXUS RETAIL SOLUTIONS - REF 884309 UTR UTR5160575046,REF-884309,UTR5160575046,CREDIT,INR,808346.0
BNK_TXN00050,2026-08-19,2026-08-19,14282.07,14282.07,0.0,NEFT CR - METRO MOBILITY CABS - REF 232731 UTR UTR6065662867,REF-232731,UTR6065662867,CREDIT,INR,4427238.81
BNK_TXN00196_B,2026-08-15,2026-08-15,4936.35,4936.35,0.0,NEFT CR - INNOVATE DIGITAL LABS - REF 829066 DUP2 UTR UTR6585327015,REF-829066-2,UTR6585327015,CREDIT,INR,3627309.95
BNK_TXN00012,2026-08-04,2026-08-04,3998.0,3998.0,0.0,NEFT CR - OMNI RETAIL VENTURES - REF 642717 UTR UTR6633778586,REF-642717,UTR6633778586,CREDIT,INR,532358.78
